,Venue_Distance,Category_ID,Category_Name,Venue_Rating
161,17,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
162,18,4bf58dd8d48988d124941735,Office,Not Rated
163,23,4bf58dd8d48988d125941735,Tech Startup,Not Rated
164,27,4bf58dd8d48988d130941735,Building,Not Rated
165,30,4bf58dd8d48988d131941735,Spiritual Center,Not Rated
166,38,4bf58dd8d48988d124941735,Office,Not Rated
167,42,4bf58dd8d48988d146941735,Deli / Bodega,6.8
168,64,52f2ab2ebcbc57f1066b8b28,Print Shop,Not Rated
169,96,4bf58dd8d48988d113951735,Gas Station,6.4
170,290,4bf58dd8d48988d166941735,Sculpture Garden,9.0
171,2787,4bf58dd8d48988d124941735,Office,Not Rated
172,5948,4bf58dd8d48988d1f4941735,Design Studio,Not Rated
173,8,4bf58dd8d48988d101951735,Thrift / Vintage Store,Not Rated
174,11,4eb1c0253b7b52c0e1adc2e9,Garden Center,Not Rated
175,17,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
176,20,4bf58dd8d48988d103951735,Clothing Store,Not Rated
177,44,4bf58dd8d48988d112951735,Hardware Store,Not Rated
178,64,4bf58dd8d48988d1f2941735,Sporting Goods Shop,Not Rated
179,70,4bf58dd8d48988d115951735,Bike Shop,Not Rated
180,88,4bf58dd8d48988d1c5941735,Sandwich Place,6.6
181,107,4bf58dd8d48988d128951735,Gift Shop,Not Rated
182,115,4bf58dd8d48988d1c6941735,Scandinavian Restaurant,Not Rated
183,127,4bf58dd8d48988d181941735,Museum,8.3
184,128,4bf58dd8d48988d124941735,Office,Not Rated
185,140,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
186,198,4bf58dd8d48988d1ed941735,Spa,8.2
187,200,4bf58dd8d48988d113951735,Gas Station,Not Rated
188,329,4bf58dd8d48988d151941735,Taco Place,Not Rated
189,220,4bf58dd8d48988d15a941735,Garden,Not Rated
190,425,4bf58dd8d48988d132941735,Church,Not Rated
191,461,4bf58dd8d48988d1fc931735,Light Rail Station,Not Rated
192,541,4bf58dd8d48988d15a941735,Garden,8.4
193,562,4bf58dd8d48988d12b951735,Bus Line,Not Rated
194,566,4bf58dd8d48988d12c941735,Fire Station,Not Rated
195,670,4bf58dd8d48988d1df941735,Bridge,Not Rated
196,735,4bf58dd8d48988d1f3941735,Toy / Game Store,Not Rated
197,740,4bf58dd8d48988d124941735,Office,Not Rated
198,776,4bf58dd8d48988d177941735,Doctor's Office,Not Rated
199,805,4bf58dd8d48988d132941735,Church,Not Rated
200,865,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
201,900,4bf58dd8d48988d1fc931735,Light Rail Station,Not Rated
202,934,4bf58dd8d48988d1e0931735,Coffee Shop,7.2
203,936,4bf58dd8d48988d1ed931735,Airport,Not Rated
204,960,4bf58dd8d48988d186941735,Liquor Store,Not Rated
205,960,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
206,961,4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,6.2
207,10461,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
208,245,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
209,251,4f2a210c4b9023bd5841ed28,Housing Development,Not Rated
210,287,4bf58dd8d48988d126941735,Government Building,Not Rated
211,294,4bf58dd8d48988d121951735,Paper / Office Supplies Store,5.6
212,317,4bf58dd8d48988d104941735,Medical Center,Not Rated
213,428,4bf58dd8d48988d1f6941735,Department Store,7.6
214,439,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
215,455,4bf58dd8d48988d172941735,Post Office,6.0
216,459,4bf58dd8d48988d1ed941735,Spa,Not Rated
217,459,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
218,465,4bf58dd8d48988d175941735,Gym / Fitness Center,5.3
219,474,5032897c91d4c4b30a586d69,Pet Service,Not Rated
220,479,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
221,490,4bf58dd8d48988d14c941735,Wings Joint,7.0
