,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
97,Westlake,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1211,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
229,Atlantic,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1319,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
129,Belltown,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1704,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
118,Denny Triangle,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1906,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
227,Cherry Hill ,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1919,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
88,Cascade,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2090,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
58,Pike,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2106,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
138,Pike,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2106,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
246,SoDo,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2271,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
39,Lower Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,387,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
79,South Lake Union,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,959,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
131,Belltown,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,982,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
120,Denny Triangle,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1300,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
90,Cascade,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1320,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
225,Minor,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1516,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
101,Westlake,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1523,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
151,Central Business District,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1701,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
215,Mann,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1710,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
192,Central Waterfront,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1744,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
240,Harrison,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1796,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
203,West Edge,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1932,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
26,Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,2161,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
29,North Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,2161,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
43,West Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,2161,No Address,47.62124191433432,-122.35085303562944,4bf58dd8d48988d1e1931735,Arcade
65,Renton Hill,4ff503b1e4b02ca33b4b731f,Rod's Pinball Arcade,829,9818 Beacon Ave S,47.512992,-122.27285,4bf58dd8d48988d1e1931735,Arcade
244,Rainier Beach ,4ff503b1e4b02ca33b4b731f,Rod's Pinball Arcade,1159,9818 Beacon Ave S,47.512992,-122.27285,4bf58dd8d48988d1e1931735,Arcade
243,Dunlap ,4ff503b1e4b02ca33b4b731f,Rod's Pinball Arcade,2073,9818 Beacon Ave S,47.512992,-122.27285,4bf58dd8d48988d1e1931735,Arcade
32,Lower Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,390,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
72,South Lake Union,5064c506e4b06062642548ae,Next 50 Video Arcade,958,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
126,Belltown,5064c506e4b06062642548ae,Next 50 Video Arcade,979,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
115,Denny Triangle,5064c506e4b06062642548ae,Next 50 Video Arcade,1297,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
85,Cascade,5064c506e4b06062642548ae,Next 50 Video Arcade,1318,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
221,Minor,5064c506e4b06062642548ae,Next 50 Video Arcade,1515,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
98,Westlake,5064c506e4b06062642548ae,Next 50 Video Arcade,1520,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
147,Central Business District,5064c506e4b06062642548ae,Next 50 Video Arcade,1697,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
212,Mann,5064c506e4b06062642548ae,Next 50 Video Arcade,1707,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
190,Central Waterfront,5064c506e4b06062642548ae,Next 50 Video Arcade,1741,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
238,Harrison,5064c506e4b06062642548ae,Next 50 Video Arcade,1795,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
200,West Edge,5064c506e4b06062642548ae,Next 50 Video Arcade,1929,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
25,Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,2164,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
28,North Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,2164,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
42,West Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,2164,Seattle Center,47.62121962265271,-122.35082739195471,4bf58dd8d48988d1e1931735,Arcade
232,Harrison,50fa31bae4b020b5559a65cc,Lipton's Arcade,373,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
81,Cascade,50fa31bae4b020b5559a65cc,Lipton's Arcade,517,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
52,Pike,50fa31bae4b020b5559a65cc,Lipton's Arcade,520,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
132,Pike,50fa31bae4b020b5559a65cc,Lipton's Arcade,520,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
112,Denny Triangle,50fa31bae4b020b5559a65cc,Lipton's Arcade,542,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
45,Capitol Hill,50fa31bae4b020b5559a65cc,Lipton's Arcade,845,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
216,Minor,50fa31bae4b020b5559a65cc,Lipton's Arcade,963,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
73,South Lake Union,50fa31bae4b020b5559a65cc,Lipton's Arcade,998,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
96,Westlake,50fa31bae4b020b5559a65cc,Lipton's Arcade,1051,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
157,First Hill,50fa31bae4b020b5559a65cc,Lipton's Arcade,1062,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
146,Central Business District,50fa31bae4b020b5559a65cc,Lipton's Arcade,1251,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
211,Mann,50fa31bae4b020b5559a65cc,Lipton's Arcade,1364,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
128,Belltown,50fa31bae4b020b5559a65cc,Lipton's Arcade,1524,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
199,West Edge,50fa31bae4b020b5559a65cc,Lipton's Arcade,1605,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
189,Central Waterfront,50fa31bae4b020b5559a65cc,Lipton's Arcade,1732,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
21,Central Seattle,50fa31bae4b020b5559a65cc,Lipton's Arcade,1893,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
167,Pioneer Square,50fa31bae4b020b5559a65cc,Lipton's Arcade,1927,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
181,Yesler Terrace,50fa31bae4b020b5559a65cc,Lipton's Arcade,2030,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
38,Lower Queen Anne,50fa31bae4b020b5559a65cc,Lipton's Arcade,2210,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
64,Madison Valley,50fa31bae4b020b5559a65cc,Lipton's Arcade,2341,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
68,Lake Union,50fa31bae4b020b5559a65cc,Lipton's Arcade,2444,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
44,Capitol Hill,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,393,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
53,Pike,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,680,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
133,Pike,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,680,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
235,Harrison,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1036,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
63,Madison Valley,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1369,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
19,Central Seattle,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1387,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
219,Minor,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1479,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
86,Cascade,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1543,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
62,Interlaken,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1606,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
