,City,Arcade,Venue_ID,Venue_Name,Venue_Address
101,"Atlanta, GA",Arcade Community,5f808d89a8f19063a8e0437c,Beets Cafe,142 Rockaway Avenue
102,"Atlanta, GA",Arcade Community,4c52fef62543a5937cad3f86,Phoenix Community Garden,2-36 Somers St
103,"Atlanta, GA",Arcade Community,58bad25c4bc2f1632aace318,Daily Press Coffee,38 Somers St
104,"Atlanta, GA",Arcade Community,50507b82e4b0473d5f43dbc8,Shirley Chisholm Day Care,33 Somersault Street
105,"Atlanta, GA",Arcade Community,5f2b4345952995556e819871,All Night Skate,54 Rockaway Ave
106,"Atlanta, GA",Arcade Community,4bdcdf892a3a0f4709cdb4b6,MTA Subway - Rockaway Ave (C),Rockaway Ave
107,"Atlanta, GA",Arcade Community,4e47fb5a62e148603b86e417,B60 (Fulton & Rockaway Ave),No Address
108,"Atlanta, GA",Arcade Community,4b80928bf964a520dc7d30e3,Royal Chicken Biscuits,1799 Broadway
109,"Atlanta, GA",Arcade Community,4ed414a399114b488c5084ff,Urban strategies,294 Sumpter St
110,"Atlanta, GA",Arcade Community,5baae62489b06a0039250273,Pita Point,508 Marion Street
111,"Atlanta, GA",Arcade Community,4e9c46d330f87c966cfa3fec,B60 Bus,No Address
112,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4f22f6b2e4b0b2f98de71ff5,Sony Plaza Illy Cafe,No Address
113,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4cc864a77be6548110b52d23,Illy caffe North America,Madison Ave
114,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4fa1adb7e4b0115a82cd47d4,Pacers Toastmasters Club,The Sony Center
115,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4f0a04e4e4b0596c904d6732,MoloLamken,540 Madison Ave
116,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4f60e179e4b04905886d6969,Sony Public Plaza,550 Madison Ave
117,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),502e8003e4b04d70bdea7a76,Sony Club,550 Madison Ave Fl 35
118,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),512c0a44e4b0a8adf180433b,Pizza Da Solo,550 Madison Ave
119,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4d672853a800721ecda60cb8,The Innovation Station,550 Madison Ave Fl 30
120,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4d5006dddcce224bf1ccd31b,Columbia/Epic Label Group,550 Madison Ave
121,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4c98dd75671db60c6107bdf6,Sony/ATV Music Publishing,550 Madison Ave
122,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),571bec75cd104795c027b270,MTA BxM7 34th  Street & Madison  Ave,No Address
123,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4b22729bf964a520e64624e3,Epic Records,550 Madison Ave
124,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4bcba10d3740b7134bf26265,540 Madison Avenue,540 Madison Ave
125,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4b1c222df964a520ce0224e3,Sony Fitness Center,550 Madison Ave
126,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4d042c5b28926ea811226ac2,King Cole Bar,2 E 55th St
127,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),58af37e8076be15eeb312567,Vivienne Westwood,14 E 55th St
128,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),4a637181f964a52008c51fe3,The St. Regis New York,2 E 55th St
129,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),58fbdcad12138468bd514a50,Anton Kern Gallery,16 W 55th St
130,"Atlanta, GA",Arcade Creative Group (A Sony Music Company),5d669c759c03190008143b31,Red Peony,24 W 56th St
131,"Atlanta, GA",Arcade Edit NY,4dcbe17881dcc1e341fd4394,220 Fifth Avenue,220 5th Ave
132,"Atlanta, GA",Arcade Edit NY,4ce00fc7db1254814f723ace,La Perla Sample Sale,No Address
133,"Atlanta, GA",Arcade Edit NY,4cf514b9d29b2d43ab37f4bb,Vanguard Management Group,220 5th Ave Ph West
134,"Atlanta, GA",Arcade Edit NY,4a7087f7f964a520b3d71fe3,GlobalWorks,220 5th Ave
135,"Atlanta, GA",Arcade Edit NY,5cbb5ddbf1fdaf002c187d2d,Imd Beauty Spa,224 5th Ave
136,"Atlanta, GA",Arcade Edit NY,5e5fd5d8d0725c0008d19640,The Gilded Lady,No Address
137,"Atlanta, GA",Arcade Edit NY,4d6675816d86224be1049381,The Sandbox @ GlobalWorks,220 5th Ave
138,"Atlanta, GA",Arcade Edit NY,55365d3f498e7a3f69209272,Mexicue Kitchen & Bar,225 5th Ave
139,"Atlanta, GA",Arcade Edit NY,4f493041e4b00005b93df2c8,7-Eleven,224 5th Ave
140,"Atlanta, GA",Arcade Edit NY,4f19bc59e4b0b7e256b8a1fd,Dominoes At GW,220 5th Ave
141,"Atlanta, GA",Arcade Edit NY,556602bd498e46aa126dfd5f,Infinity Float,No Address
142,"Atlanta, GA",Arcade Edit NY,4c60188412e5c92807691e4c,World Policy Institute,220 5th Ave
143,"Atlanta, GA",Arcade Edit NY,585acab5375c4a72eff621ab,Riskified NY,220 5th Ave
144,"Atlanta, GA",Arcade Edit NY,517eb002e4b04f1b77fbccbd,1-800-FLOWERS.COM,220 5th Ave
145,"Atlanta, GA",Arcade Edit NY,4f562eb1e4b0d45ec112f64f,Wirtz International nv,220 5th Ave
146,"Atlanta, GA",Arcade Edit NY,4bd36f2fcaff952180eed4f0,225 Fifth Ave,225 5th Ave
147,"Atlanta, GA",Arcade Edit NY,4d93b001578ba0939c0a9357,Avenues: The World School - World Headquarters,11 E 26th St
148,"Atlanta, GA",Arcade Edit NY,40b68100f964a5207d001fe3,Madison Square Park,Madison Ave
149,"Atlanta, GA",Arcade Edit NY,586423d9ac13690a1b02ef9f,REVIV,1140 Broadway
150,"Atlanta, GA",Arcade Lounge,4b9e7673f964a52007e636e3,Achievement First Bushwick,125 Covert St
151,"Atlanta, GA",Arcade Lounge,6007025fc0448a561157937c,Sam’s Detox Deli & Grill,1144 Halsey St
152,"Atlanta, GA",Arcade Lounge,4da905ab4df01c19b167ecaa,Batcave,1 Wayne Manor
153,"Atlanta, GA",Arcade Lounge,5db5567323aa41000867a445,Citibike Station,No Address
154,"Atlanta, GA",Arcade Lounge,4f46924ce4b01fefa1149f46,Tiger playground,No Address
155,"Atlanta, GA",Arcade Lounge,5f88e2cbfcd49f1f079aa434,Laundry Bee,No Address
156,"Atlanta, GA",Arcade Lounge,4e3f52f762e19d610987f3f5,Emilios Laundromat,100 Covert St
157,"Atlanta, GA",Arcade Lounge,536549ea498ea0b7ddef3905,Cowboy Hotel,No Address
158,"Atlanta, GA",Arcade Lounge,578edbe5498ed7aa1996951a,Boardwalk Wine & Spirits,1195 Halsey St
159,"Atlanta, GA",Arcade Lounge,4fdb8a9f7e27bf02d3864966,FDNY Squad 252,617 Central Ave
160,"Atlanta, GA",Arcade Lounge,5e4caf1f668011000748c6bf,Money Cat Vietnamese Kitchen,554 Wilson Ave
161,"Atlanta, GA",Arcade Lounge,4e742388d1643f93b156383f,The Lovejoy Center,70 Weirfield St
162,"Atlanta, GA",Arcade Lounge,4c78634b97028cfa74cad7fe,Jimmy's Pizzeria,561 Wilson Ave
163,"Atlanta, GA",Arcade Lounge,4eaabd629adfbd5e5d37741b,Nat's Hardware,576 Wilson Ave
164,"Atlanta, GA",Arcade Lounge,5b390d6fe1791000399a3d76,Lil Baby's Bushwick,504 Wilson Ave
165,"Atlanta, GA",Arcade Lounge,52c2f43111d2a28c68697a39,Hair & Nail Salon,557 Wilson Ave
166,"Atlanta, GA",Arcade Lounge,600a0a89dcdde1171192f578,Crust Pizzeria,No Address
167,"Atlanta, GA",Arcade Lounge,4e360f4862e17d29083b0fae,1134 Jefferson Ave,1134 Jefferson Ave
168,"Atlanta, GA",Arcade Lounge,5ff0cd324d83836bb4cac746,General Irving,1210 Halsey Street
169,"Atlanta, GA",Arcade Lounge,56d8a2e3cd10fd56c52675b6,Zun Laundromat,1285 Bushwick Ave
170,"Atlanta, GA",Arcade Pizza,4f32b52a19836c91c7f1ddd9,St Nicholas Fish Market Co,1609 Saint Nicholas Ave
