,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
450,Fulton Ferry,4cbf45eb28d176b0b0ef226e,Moto Arcade,2043,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
443,Flatiron,4cbf45eb28d176b0b0ef226e,Moto Arcade,2065,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
466,Dumbo,4cbf45eb28d176b0b0ef226e,Moto Arcade,2156,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
204,Chelsea,4cbf45eb28d176b0b0ef226e,Moto Arcade,2555,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
236,Little Italy,4cc0d53922ce4688bbe33947,MotoArcade!,255,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade
241,Soho,4cc0d53922ce4688bbe33947,MotoArcade!,343,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade
214,Greenwich Village,4cc0d53922ce4688bbe33947,MotoArcade!,656,No Address,40.721567,-73.996672,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
88,Chinatown,4cc0d53922ce4688bbe33947,MotoArcade!,692,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade
328,Noho,4cc0d53922ce4688bbe33947,MotoArcade!,720,No Address,40.721567,-73.996672,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
333,Civic Center,4cc0d53922ce4688bbe33947,MotoArcade!,1020,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade
231,Tribeca,4cc0d53922ce4688bbe33947,MotoArcade!,1182,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade
226,Lower East Side,4cc0d53922ce4688bbe33947,MotoArcade!,1395,No Address,40.721567,-73.996672,4bf58dd8d48988d11a941735,Other Nightlife
223,East Village,4cc0d53922ce4688bbe33947,MotoArcade!,1404,No Address,40.721567,-73.996672,4d954b06a243a5684965b473,Residential Building (Apartment / Condo)
253,West Village,4cc0d53922ce4688bbe33947,MotoArcade!,1641,No Address,40.721567,-73.996672,4bf58dd8d48988d1e7941735,Playground
285,Financial District,4cc0d53922ce4688bbe33947,MotoArcade!,1996,No Address,40.721567,-73.996672,4bf58dd8d48988d11a941735,Other Nightlife
280,Battery Park City,4cc0d53922ce4688bbe33947,MotoArcade!,2013,No Address,40.721567,-73.996672,4bf58dd8d48988d11a941735,Other Nightlife
451,Fulton Ferry,4cc0d53922ce4688bbe33947,MotoArcade!,2037,No Address,40.721567,-73.996672,4bf58dd8d48988d11a941735,Other Nightlife
445,Flatiron,4cc0d53922ce4688bbe33947,MotoArcade!,2072,No Address,40.721567,-73.996672,4bf58dd8d48988d1e4931735,Bowling Alley
467,Dumbo,4cc0d53922ce4688bbe33947,MotoArcade!,2153,No Address,40.721567,-73.996672,4bf58dd8d48988d11a941735,Other Nightlife
206,Chelsea,4cc0d53922ce4688bbe33947,MotoArcade!,2559,No Address,40.721567,-73.996672,4bf58dd8d48988d1e4931735,Bowling Alley
291,Ridgewood,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,1370,801 Wyckoff Avenue,40.69720247162584,-73.90839396773141,4bf58dd8d48988d130941735,Building
39,Bushwick,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,1426,801 Wyckoff Avenue,40.69720247162584,-73.90839396773141,4bf58dd8d48988d130941735,Building
74,Ocean Hill,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,2129,801 Wyckoff Avenue,40.69720247162584,-73.90839396773141,4bf58dd8d48988d130941735,Building
457,Broadway Junction,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,2195,801 Wyckoff Avenue,40.69720247162584,-73.90839396773141,4bf58dd8d48988d130941735,Building
288,Elmhurst,4d0c6d185c46a093ec8708b4,Flynn's Arcade,1241,No Address,40.73290252072499,-73.88213696433121,4bf58dd8d48988d18d941735,Gaming Cafe
