,Venue_Distance,Category_ID,Category_Name,Venue_Rating
131,7,4bf58dd8d48988d124941735,Office,Not Rated
132,8,4bf58dd8d48988d109951735,Lingerie Store,Not Rated
133,9,4bf58dd8d48988d124941735,Office,Not Rated
134,9,4bf58dd8d48988d124941735,Office,Not Rated
135,15,52f2ab2ebcbc57f1066b8b3c,Massage Studio,Not Rated
136,17,507c8c4091d498d9fc8c67a9,Public Art,Not Rated
137,18,4bf58dd8d48988d174941735,Coworking Space,Not Rated
138,21,4bf58dd8d48988d1c1941735,Mexican Restaurant,Not Rated
139,23,4d954b0ea243a5684a65b473,Convenience Store,Not Rated
140,24,4bf58dd8d48988d174941735,Coworking Space,Not Rated
141,26,4bf58dd8d48988d1ed941735,Spa,Not Rated
142,28,4bf58dd8d48988d174941735,Coworking Space,Not Rated
143,30,4bf58dd8d48988d125941735,Tech Startup,Not Rated
144,31,4bf58dd8d48988d124941735,Office,Not Rated
145,36,4bf58dd8d48988d124941735,Office,Not Rated
146,48,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
147,81,4bf58dd8d48988d124941735,Office,Not Rated
148,153,4bf58dd8d48988d163941735,Park,Not Rated
149,203,54541900498ea6ccd0202697,Health & Beauty Service,Not Rated
150,78,4f4533804b9074f6e4fb0105,Elementary School,Not Rated
151,97,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
152,137,4bf58dd8d48988d124941735,Office,Not Rated
153,137,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,Not Rated
154,145,4bf58dd8d48988d1e7941735,Playground,Not Rated
155,168,52f2ab2ebcbc57f1066b8b33,Laundromat,Not Rated
156,174,52f2ab2ebcbc57f1066b8b33,Laundromat,Not Rated
157,227,4bf58dd8d48988d1f1931735,General Entertainment,Not Rated
158,256,4bf58dd8d48988d186941735,Liquor Store,Not Rated
159,267,4bf58dd8d48988d12c941735,Fire Station,Not Rated
160,280,4bf58dd8d48988d14a941735,Vietnamese Restaurant,Not Rated
161,288,4bf58dd8d48988d124941735,Office,Not Rated
162,288,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
163,297,4bf58dd8d48988d112951735,Hardware Store,Not Rated
164,298,4bf58dd8d48988d1de931735,Tattoo Parlor,Not Rated
165,304,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
166,317,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
167,318,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
168,322,4bf58dd8d48988d1e0931735,Coffee Shop,Not Rated
169,333,52f2ab2ebcbc57f1066b8b33,Laundromat,Not Rated
170,9,4bf58dd8d48988d1ce941735,Seafood Restaurant,Not Rated
171,10,4bf58dd8d48988d1ce941735,Seafood Restaurant,Not Rated
172,12,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
173,14,4d954b0ea243a5684a65b473,Convenience Store,Not Rated
174,14,4bf58dd8d48988d1e0931735,Coffee Shop,Not Rated
175,17,4bf58dd8d48988d1e1931735,Arcade,Not Rated
176,22,4bf58dd8d48988d130941735,Building,Not Rated
177,23,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
178,23,4bf58dd8d48988d144941735,Caribbean Restaurant,Not Rated
179,23,4bf58dd8d48988d144941735,Caribbean Restaurant,Not Rated
180,25,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
181,25,4bf58dd8d48988d144941735,Caribbean Restaurant,Not Rated
182,30,52f2ab2ebcbc57f1066b8b46,Supermarket,Not Rated
183,42,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
184,47,4bf58dd8d48988d148941735,Donut Shop,Not Rated
185,49,4bf58dd8d48988d186941735,Liquor Store,Not Rated
186,58,4bf58dd8d48988d10c951735,Cosmetics Shop,Not Rated
187,179,4bf58dd8d48988d1be941735,Latin American Restaurant,Not Rated
188,349,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
189,34,4bf58dd8d48988d11e941735,Cocktail Bar,Not Rated
190,36,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
191,41,4bf58dd8d48988d16a941735,Bakery,Not Rated
192,47,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
193,91,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
194,126,4f4533804b9074f6e4fb0105,Elementary School,Not Rated
195,136,4bf58dd8d48988d130941735,Building,Not Rated
196,157,4f4533804b9074f6e4fb0105,Elementary School,Not Rated
197,160,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
198,161,4bf58dd8d48988d1e7941735,Playground,Not Rated
199,169,4bf58dd8d48988d124941735,Office,Not Rated
200,181,4bf58dd8d48988d186941735,Liquor Store,Not Rated
201,196,4bf58dd8d48988d10b941735,Falafel Restaurant,Not Rated
202,202,4bf58dd8d48988d1a8941735,General College & University,Not Rated
203,211,5744ccdfe4b0c0459246b4af,Physical Therapist,Not Rated
204,213,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
205,213,52f2ab2ebcbc57f1066b8b45,Organic Grocery,Not Rated
206,217,4bf58dd8d48988d10b941735,Falafel Restaurant,Not Rated
207,242,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
208,281,4bf58dd8d48988d1ce941735,Seafood Restaurant,Not Rated
209,82,4bf58dd8d48988d15a941735,Garden,Not Rated
210,105,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
211,122,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
212,188,52af3a7c3cf9994f4e043bed,Cantonese Restaurant,Not Rated
213,191,4bf58dd8d48988d16d941735,Café,Not Rated
214,198,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
215,206,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,Not Rated
216,210,4bf58dd8d48988d16e941735,Fast Food Restaurant,Not Rated
217,221,4bf58dd8d48988d10a951735,Bank,Not Rated
218,224,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,Not Rated
219,229,4bf58dd8d48988d1c1941735,Mexican Restaurant,Not Rated
220,237,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,Not Rated
221,237,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
222,238,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
223,240,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
224,241,4bf58dd8d48988d1ff941735,Miscellaneous Shop,Not Rated
225,276,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
226,287,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
227,291,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
228,405,4bf58dd8d48988d148941735,Donut Shop,Not Rated
229,11,4bf58dd8d48988d1ce941735,Seafood Restaurant,Not Rated
230,15,4bf58dd8d48988d1c9941735,Ice Cream Shop,Not Rated
231,15,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
232,16,4bf58dd8d48988d10b941735,Falafel Restaurant,Not Rated
233,19,4bf58dd8d48988d14f941735,Southern / Soul Food Restaurant,Not Rated
234,21,4bf58dd8d48988d1a8941735,General College & University,Not Rated
235,24,4bf58dd8d48988d116951735,Antique Shop,Not Rated
236,25,4bf58dd8d48988d1e5931735,Music Venue,Not Rated
237,26,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
238,26,4bf58dd8d48988d111951735,Jewelry Store,Not Rated
239,29,4bf58dd8d48988d16a941735,Bakery,Not Rated
240,32,52f2ab2ebcbc57f1066b8b30,Used Bookstore,Not Rated
241,35,4bf58dd8d48988d1f5941735,Gourmet Shop,Not Rated
242,36,4bf58dd8d48988d124941735,Office,Not Rated
243,37,4bf58dd8d48988d132941735,Church,Not Rated
244,49,4bf58dd8d48988d1e0931735,Coffee Shop,Not Rated
245,64,4bf58dd8d48988d104951735,Boutique,Not Rated
246,105,4bf58dd8d48988d179941735,Bagel Shop,Not Rated
247,133,52e81612bcbc57f1066b7a25,Pedestrian Plaza,Not Rated
248,14,50be8ee891d4fa8dcc7199a7,Market,Not Rated
249,23,4bf58dd8d48988d132941735,Church,Not Rated
250,27,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
251,31,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
252,48,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
253,57,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
254,78,4bf58dd8d48988d10f951735,Pharmacy,Not Rated
255,110,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
256,111,4bf58dd8d48988d124951735,Automotive Shop,Not Rated
257,111,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
258,113,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
259,117,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
260,155,4bf58dd8d48988d177941735,Doctor's Office,Not Rated
261,163,4bf58dd8d48988d132941735,Church,Not Rated
262,172,4bf58dd8d48988d132941735,Church,Not Rated
263,179,4bf58dd8d48988d1fa941735,Farmers Market,Not Rated
264,213,4bf58dd8d48988d16a941735,Bakery,Not Rated
265,229,4bf58dd8d48988d11f941735,Nightclub,Not Rated
266,236,4bf58dd8d48988d118941735,Dive Bar,Not Rated
267,2,4bf58dd8d48988d164941735,Plaza,Not Rated
268,10,4bf58dd8d48988d1df941735,Bridge,Not Rated
269,29,4bf58dd8d48988d164941735,Plaza,Not Rated
270,33,5744ccdfe4b0c0459246b4c4,Public Bathroom,Not Rated
271,38,4bf58dd8d48988d163941735,Park,Not Rated
272,49,56aa371be4b08b9a8d573547,Fountain,Not Rated
273,49,52e81612bcbc57f1066b79ed,Outdoor Sculpture,Not Rated
274,50,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
275,109,4bf58dd8d48988d1e5931735,Music Venue,Not Rated
276,132,4bf58dd8d48988d1e5931735,Music Venue,Not Rated
277,133,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
278,146,4bf58dd8d48988d1f2931735,Performing Arts Venue,Not Rated
279,152,4bf58dd8d48988d15f941735,Field,Not Rated
280,164,4bf58dd8d48988d163941735,Park,Not Rated
281,190,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
282,219,4bf58dd8d48988d1df941735,Bridge,Not Rated
283,255,4bf58dd8d48988d161941735,Lake,Not Rated
284,272,4bf58dd8d48988d1e5941735,Dog Run,Not Rated
285,1124,4bf58dd8d48988d163941735,Park,Not Rated
286,2,4bf58dd8d48988d1d0941735,Dessert Shop,Not Rated
287,4,4bf58dd8d48988d178941735,Dentist's Office,Not Rated
288,9,4bf58dd8d48988d10f951735,Pharmacy,Not Rated
289,13,52e81612bcbc57f1066b79f2,Creperie,Not Rated
290,13,4bf58dd8d48988d124941735,Office,Not Rated
291,14,4bf58dd8d48988d156941735,Malay Restaurant,Not Rated
292,17,4bf58dd8d48988d178941735,Dentist's Office,Not Rated
293,18,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
294,19,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant,Not Rated
295,19,4bf58dd8d48988d1d1941735,Noodle House,Not Rated
296,19,4bf58dd8d48988d124941735,Office,Not Rated
297,22,4bf58dd8d48988d128951735,Gift Shop,Not Rated
298,22,4bf58dd8d48988d130941735,Building,Not Rated
299,23,4bf58dd8d48988d1f3941735,Toy / Game Store,Not Rated
300,23,52f2ab2ebcbc57f1066b8b3c,Massage Studio,Not Rated
301,25,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
302,26,4bf58dd8d48988d1c7941735,Snack Place,Not Rated
303,27,4bf58dd8d48988d1ed941735,Spa,Not Rated
304,32,52f2ab2ebcbc57f1066b8b1c,Fruit & Vegetable Store,Not Rated
305,2,4bf58dd8d48988d1f7941735,Flea Market,Not Rated
306,3,4bf58dd8d48988d16e941735,Fast Food Restaurant,Not Rated
307,3,4bf58dd8d48988d14c941735,Wings Joint,Not Rated
308,3,4bf58dd8d48988d11a951735,Bridal Shop,Not Rated
309,3,4bf58dd8d48988d1bb941735,College Baseball Diamond,Not Rated
310,5,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
311,6,4bf58dd8d48988d126951735,Video Store,Not Rated
312,7,4bf58dd8d48988d180941735,Multiplex,Not Rated
313,8,4bf58dd8d48988d1e6941735,Golf Course,Not Rated
314,9,4bf58dd8d48988d122951735,Electronics Store,Not Rated
315,12,4bf58dd8d48988d109951735,Lingerie Store,Not Rated
316,29,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
317,29,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
318,36,4d954b0ea243a5684a65b473,Convenience Store,Not Rated
319,37,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
320,75,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop,Not Rated
321,100,52e81612bcbc57f1066b79fc,Kosher Restaurant,Not Rated
322,150,4bf58dd8d48988d1ff941735,Miscellaneous Shop,Not Rated
323,195,4bf58dd8d48988d10a951735,Bank,Not Rated
324,283,4bf58dd8d48988d131941735,Spiritual Center,Not Rated
325,9,4bf58dd8d48988d182941735,Theme Park,Not Rated
326,11,4bf58dd8d48988d1e1931735,Arcade,Not Rated
327,14,4bf58dd8d48988d182941735,Theme Park,Not Rated
328,16,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
329,16,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
330,18,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
331,19,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
332,21,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
333,21,4bf58dd8d48988d182941735,Theme Park,Not Rated
334,27,4bf58dd8d48988d182941735,Theme Park,Not Rated
335,29,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
