Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
Prospect Park South,5614ea2f498e1a47b3fd4d1c,Rolling Game Arcade,1503,1222 Ocean Ave,40.63352870253364,-73.96365165710449,4bf58dd8d48988d126951735,Video Store
Ocean Parkway,511ae724e4b0dd11cbae7258,Daniel Arcade,1319,No Address,40.62468719482422,-73.96533203125,4bf58dd8d48988d1e1931735,Arcade
Ocean Parkway,5614ea2f498e1a47b3fd4d1c,Rolling Game Arcade,2313,1222 Ocean Ave,40.63352870253364,-73.96365165710449,4bf58dd8d48988d126951735,Video Store
Chinatown,5053d510e4b0719d67706d96,Chinatown Fair Video Arcade,417,8 Mott St,40.71396702977465,-73.9987164479224,4bf58dd8d48988d1e1931735,Arcade
Chinatown,4cbf45eb28d176b0b0ef226e,Moto Arcade,695,201 Mulberry St,40.721615809999996,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
Chinatown,569c2247498edccdb3481f82,WeLive Laundry Room & Arcade,1549,110 Wall St,40.70527929530424,-74.00656928984769,52f2ab2ebcbc57f1066b8b33,Laundromat
Chinatown,5c0b2bec89b06a002ccbbb7f,2 Water Street - Arcade,2113,2 Water St,40.702796936035156,-74.01274871826172,4bf58dd8d48988d1e1931735,Arcade
Chinatown,4cc0d53922ce4688bbe33947,MotoArcade!,692,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade
Washington Heights,4d70445dcbc58cfad8686f72,Washington Heights Arcade and Bingo,423,1422 Saint Nicholas Ave,40.849365234375,-73.93315124511719,4bf58dd8d48988d1f1931735,General Entertainment
Washington Heights,5ac83d3b0f013c3cc9135100,Arcade Pizza,720,1611 Saint Nicholas Ave,40.855221,-73.929559,4bf58dd8d48988d1ca941735,Pizza Place
Inwood,5ac83d3b0f013c3cc9135100,Arcade Pizza,1555,1611 Saint Nicholas Ave,40.855221,-73.929559,4bf58dd8d48988d1ca941735,Pizza Place
Inwood,4d70445dcbc58cfad8686f72,Washington Heights Arcade and Bingo,2273,1422 Saint Nicholas Ave,40.849365234375,-73.93315124511719,4bf58dd8d48988d1f1931735,General Entertainment
Inwood,4eee04029911d70cb86f1d4c,Arca De Salvacion,2031,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
Hamilton Heights,4c649a46e0c4be9aca168658,Harlem Arcade,1075,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
Manhattanville,4c649a46e0c4be9aca168658,Harlem Arcade,1352,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
Central Harlem,4c649a46e0c4be9aca168658,Harlem Arcade,160,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
East Harlem,4e3dae008877b00cfc4b0ceb,Arcade,1899,No Address,40.79265463269098,-73.96671167873518,4bf58dd8d48988d1e1931735,Arcade
Upper East Side,4b996827f964a520377935e3,Central Park - The Arcade,902,Central Park,40.77385953238675,-73.97095245470807,4bf58dd8d48988d164941735,Plaza
Upper East Side,4e3dae008877b00cfc4b0ceb,Arcade,1965,No Address,40.79265463269098,-73.96671167873518,4bf58dd8d48988d1e1931735,Arcade
Upper East Side,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),1934,550 Madison Ave,40.76137985690867,-73.97361633212932,4bf58dd8d48988d124941735,Office
Upper East Side,4f21ba67771617369d07f9c3,Cosmic Cocktails and Space Arcade at American Museum of Natural History,1315,200 Central Park W,40.781170596954915,-73.97429932262334,4bf58dd8d48988d192941735,Planetarium
Upper East Side,4bdb71243904a593177b4a9e,5th Avenue,2169,5th Ave,40.76010908156207,-73.97604949772358,4bf58dd8d48988d1f9931735,Road
Yorkville,4b996827f964a520377935e3,Central Park - The Arcade,2022,Central Park,40.77385953238675,-73.97095245470807,4bf58dd8d48988d164941735,Plaza
Lenox Hill,4c6e835fe6b7b1f77db2ac8e,Arcade Coffee,2120,27 W 47th St,40.757669,-73.979899,4bf58dd8d48988d1e0931735,Coffee Shop
Lenox Hill,4b996827f964a520377935e3,Central Park - The Arcade,1203,Central Park,40.77385953238675,-73.97095245470807,4bf58dd8d48988d164941735,Plaza
Lenox Hill,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),1452,550 Madison Ave,40.76137985690867,-73.97361633212932,4bf58dd8d48988d124941735,Office
Lenox Hill,4f21ba67771617369d07f9c3,Cosmic Cocktails and Space Arcade at American Museum of Natural History,1951,200 Central Park W,40.781170596954915,-73.97429932262334,4bf58dd8d48988d192941735,Planetarium
Lenox Hill,51534258e4b0cc67a8fdcf2d,Plaza Arcade,2153,No Address,40.757389,-73.980119,4bf58dd8d48988d111951735,Jewelry Store
Lenox Hill,4bdb71243904a593177b4a9e,5th Avenue,1701,5th Ave,40.76010908156207,-73.97604949772358,4bf58dd8d48988d1f9931735,Road
Roosevelt Island,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),2063,550 Madison Ave,40.76137985690867,-73.97361633212932,4bf58dd8d48988d124941735,Office
Roosevelt Island,4b996827f964a520377935e3,Central Park - The Arcade,2251,Central Park,40.77385953238675,-73.97095245470807,4bf58dd8d48988d164941735,Plaza
Upper West Side,4e3dae008877b00cfc4b0ceb,Arcade,1034,No Address,40.79265463269098,-73.96671167873518,4bf58dd8d48988d1e1931735,Arcade
Upper West Side,4f21ba67771617369d07f9c3,Cosmic Cocktails and Space Arcade at American Museum of Natural History,758,200 Central Park W,40.781170596954915,-73.97429932262334,4bf58dd8d48988d192941735,Planetarium
Upper West Side,4b996827f964a520377935e3,Central Park - The Arcade,1619,Central Park,40.77385953238675,-73.97095245470807,4bf58dd8d48988d164941735,Plaza
Lincoln Square,4c6e835fe6b7b1f77db2ac8e,Arcade Coffee,1824,27 W 47th St,40.757669,-73.979899,4bf58dd8d48988d1e0931735,Coffee Shop
Lincoln Square,4a326ac3f964a520499a1fe3,Kaufman Arcade,2506,139 W 35th Street,40.751193348681895,-73.98908288943252,4bf58dd8d48988d130941735,Building
Lincoln Square,4b996827f964a520377935e3,Central Park - The Arcade,1213,Central Park,40.77385953238675,-73.97095245470807,4bf58dd8d48988d164941735,Plaza
Lincoln Square,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),1674,550 Madison Ave,40.76137985690867,-73.97361633212932,4bf58dd8d48988d124941735,Office
Lincoln Square,4f21ba67771617369d07f9c3,Cosmic Cocktails and Space Arcade at American Museum of Natural History,1260,200 Central Park W,40.781170596954915,-73.97429932262334,4bf58dd8d48988d192941735,Planetarium
Lincoln Square,51534258e4b0cc67a8fdcf2d,Plaza Arcade,1849,No Address,40.757389,-73.980119,4bf58dd8d48988d111951735,Jewelry Store
Lincoln Square,4c24e4ffa852c92802e1e36c,Bricken arcade,2258,225 W 37th St,40.753597259521484,-73.99031829833984,4bf58dd8d48988d104951735,Boutique
Lincoln Square,52a1279c498eaa00e4dafd28,Garment Wear Arcade,2261,306 W 37th St,40.754034999999995,-73.99290400000001,4eb1bea83b7b6f98df247e06,Factory
