,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
69,Commerce Arcade,4ad8d53ff964a5201e1521e3,Town Pavilion,106,1100 Main St,39.10058642439513,-94.58279420726141,4bf58dd8d48988d130941735,Building,Not Rated
70,Commerce Arcade,5a9f4fffdd84426d9d3ec1b3,Copaken Brooks,108,1100 Walnut St Ste 2000,39.100532,-94.5826,5032885091d4c4b30a586d66,Real Estate Office,Not Rated
71,Commerce Arcade,4b0b0efef964a520372c23e3,Commerce Bank Building,119,1000 Walnut St,39.10248142144162,-94.58301004077336,4bf58dd8d48988d130941735,Building,Not Rated
72,Commerce Arcade,5c8b1c800d8a0f002c113a68,Spokes Cafe & Cyclery,120,929 Walnut St,39.10243653283771,-94.58174675703049,4bf58dd8d48988d16d941735,Café,Not Rated
73,Commerce Arcade,4b2bd714f964a5201abc24e3,Neo Delicatessan,172,1000 Walnut St Ste 205,39.10297683075797,-94.58306316628959,4bf58dd8d48988d146941735,Deli / Bodega,7.6
74,Joe Cool Arcade,5a2c88b693bd6355811adf06,Wof Winterfest Firepits,18,No Address,39.173465,-94.489151,4bf58dd8d48988d182941735,Theme Park,Not Rated
75,Joe Cool Arcade,4e722edfd4c0f5c149980806,CarnEvil,46,No Address,39.173491752454744,-94.48877585671944,4bf58dd8d48988d182941735,Theme Park,Not Rated
76,Joe Cool Arcade,51d5a17c498e8ee4e6220e34,Subway Worlds Of Fun,74,Worlds Of Fun,39.173513463311465,-94.48844888591243,4bf58dd8d48988d1c5941735,Sandwich Place,Not Rated
77,Joe Cool Arcade,535c1afb498e824febd095cf,Steelhawk,76,4545 NE Worlds of Fun Dr,39.17426163107006,-94.48935434839785,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,Not Rated
78,Joe Cool Arcade,4c8400cad92ea093c7505972,Cyclone Sam's,78,No Address,39.17313608785725,-94.4885947126117,4bf58dd8d48988d182941735,Theme Park,Not Rated
79,Joe Cool Arcade,4c9568c438dd8cfa6fc1d262,Front Street Emporium,87,Unnamed Rd,39.17387697,-94.48837072,4bf58dd8d48988d104951735,Boutique,Not Rated
80,Joe Cool Arcade,4c3f85ed520fa59339b7c6ac,Timber Wolf,88,No Address,39.17279018773765,-94.48921247530151,4bf58dd8d48988d182941735,Theme Park,6.3
81,Joe Cool Arcade,577af490498ec87e849b2123,Coca Cola Marketplace,94,No Address,39.173383,-94.488242,4bf58dd8d48988d14e941735,American Restaurant,Not Rated
82,Joe Cool Arcade,590e21b21543c7204de06b49,Mustang Runner,121,No Address,39.17310300000001,-94.488044,4bf58dd8d48988d182941735,Theme Park,Not Rated
83,Joe Cool Arcade,4e1f2eb2e4cd0a3823097814,Battle Creek BBQ,127,4545 NE Worlds of Fun Dr,39.17393870225276,-94.48791118807293,4bf58dd8d48988d1df931735,BBQ Joint,Not Rated
84,Joe Cool Arcade,4fcea015e4b051d786de8e93,Hurricane Falls,133,No Address,39.17324935837409,-94.4878251317284,4bf58dd8d48988d193941735,Water Park,Not Rated
85,Joe Cool Arcade,4c3f384acc410f4787d1a761,Detonator,146,No Address,39.172930957582906,-94.4878262232595,4bf58dd8d48988d182941735,Theme Park,6.1
86,Joe Cool Arcade,4dfd3cc6d22d879302f84856,Planet Snoopy,147,4545 NE Worlds of Fun Dr,39.17268181067009,-94.48804646303071,4bf58dd8d48988d182941735,Theme Park,7.7
87,Joe Cool Arcade,4c4cdd0d4237be9ac93b0313,Camp Snoopy,179,No Address,39.172392510333744,-94.48789358139038,4bf58dd8d48988d182941735,Theme Park,Not Rated
88,Joe Cool Arcade,4c41f932af052d7fd1307e79,Patriot,184,No Address,39.17520732546929,-94.48891497953504,4bf58dd8d48988d182941735,Theme Park,7.8
89,Joe Cool Arcade,4c83fdc1e602b1f72cf8aa7a,Bamboozler,202,No Address,39.174946850814905,-94.4877715282724,4bf58dd8d48988d182941735,Theme Park,Not Rated
90,Joe Cool Arcade,4ad4c01df964a5208bf120e3,Worlds of Fun,222,4545 NE Worlds of Fun Dr,39.175237902432976,-94.48788046446863,4bf58dd8d48988d182941735,Theme Park,8.6
91,Joe Cool Arcade,4c3f431cda3dc928019dc5b9,Spinning Dragons,235,No Address,39.175477251986386,-94.48811598596858,4bf58dd8d48988d182941735,Theme Park,Not Rated
92,Joe Cool Arcade,4c41d7f1ff711b8de3831205,Prowler,439,No Address,39.174204394802906,-94.48428318584648,4bf58dd8d48988d182941735,Theme Park,Not Rated
93,Joe Cool Arcade,4ad4c01ff964a5202ff220e3,Oceans Of Fun,627,4545 NE Worlds of Fun Dr,39.169094536818655,-94.48489487171172,4bf58dd8d48988d182941735,Theme Park,Not Rated
94,Scarritt Arcade,528a36ec498ed91bda388154,Dr. Rueb D.D.S.,1,819 Walnut St Ste 101,39.10380554199219,-94.5815658569336,4bf58dd8d48988d178941735,Dentist's Office,Not Rated
95,Scarritt Arcade,4c0d0cfd2466a593c2f07621,Scarritt Properties,5,819 Walnut St,39.103772808973865,-94.58160996437073,4bf58dd8d48988d124941735,Office,Not Rated
96,Scarritt Arcade,4e7e73a20aaf3a91930e9142,Scarritt Grand Ballroom,36,818 Grand Blvd,39.10372543334961,-94.58114624023438,4bf58dd8d48988d171941735,Event Space,Not Rated
97,Scarritt Arcade,56256999498ea51a45fc0388,Scarritt Building,40,818 Grand Blvd,39.103709,-94.58110400000001,4bf58dd8d48988d130941735,Building,Not Rated
98,Scarritt Arcade,4eb15471722e61d2b53314c6,Federal Public Defender Missouri Western,40,818 Grand Blvd,39.103709,-94.58110400000001,4bf58dd8d48988d130941735,Building,Not Rated
99,Scarritt Arcade,4f412bbbe4b0193962c40506,909 Walnut Fitness Center,65,909 Walnut St,39.10320666392144,-94.58162069320677,4bf58dd8d48988d175941735,Gym / Fitness Center,Not Rated
100,Scarritt Arcade,4e6a4e5352b1c1205fbff689,909 Roof Garden,69,909 Walnut St,39.103192282907294,-94.58175616306816,4bf58dd8d48988d133951735,Roof Deck,Not Rated
101,Scarritt Arcade,4f3bdfb0e4b0d6152fb6346c,Commerce Bank RLPS,93,"811 Main St, Kansas City, MO 64106",39.10378266574251,-94.58263807330772,4bf58dd8d48988d124941735,Office,Not Rated
102,Scarritt Arcade,54c40a4a498ee9f75694c93b,909 Walnut Apartments,101,909 Walnut Street,39.10288660000001,-94.58161968,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
103,Scarritt Arcade,4f4e9d2200395a5cfea4bfe1,Walnut Tower,108,722 Walnut St,39.10468654992787,-94.58205898353629,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
104,Scarritt Arcade,50a23d0ce4b0018d3b9320e5,RideKC - 142 Bus,119,North Oak Trafficway,39.10469502403362,-94.58080883911038,4bf58dd8d48988d12b951735,Bus Line,Not Rated
105,Scarritt Arcade,4bfbc9e0ab180f474a3db4ce,Commerce Tower,121,911 Main St,39.10315254687687,-94.58269894123077,4bf58dd8d48988d130941735,Building,Not Rated
106,Scarritt Arcade,581bcc60fb482d7efaadf068,Sky On Main,130,920 Main St,39.10357278296095,-94.58304184350465,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
107,Scarritt Arcade,4c12476cb7b9c9287272a737,Commerce Tower Apartments,134,911 Main St,39.10396795017923,-94.58310039504549,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
