,City,Arcade,Venue_ID,Venue_Name,Venue_Address
86,"Atlanta, GA",Foege's Arcade,612181628039c517ba278ca0,Press Shop,72 Georgia Ave SE
87,"Atlanta, GA",Foege's Arcade,53640737498edfa7e2905d15,Turner Field Hyundai Lot,No Address
88,"Atlanta, GA",Foege's Arcade,5d055bc59b0473002c8d605b,Big Softie,68 Georgia Ave SE
89,"Atlanta, GA",Foege's Arcade,5d0d6de2b990ec002348181c,Halfway Crooks Beer,60 Georgia Ave SE
90,"Atlanta, GA",Foege's Arcade,5d4a03a2c202400007394bb7,Junior’s Pizza,77 Georgia Ave SE
91,"Atlanta, GA",Foege's Arcade,4c2fcdf1213c2d7f338f315d,Hank Aaron 715 Home Run Marker,521 Capitol Ave SE
92,"Atlanta, GA",Foege's Arcade,5edfb9d84e0cfe1cadc7f470,Hot Dog Pete’s,25 Georgia Ave SE
93,"Atlanta, GA",Foege's Arcade,4c57546130d82d7f78a4d962,Summerhill Neighborhood Meeting,250 Georgia Ave SE
94,"Atlanta, GA",Foege's Arcade,51b65c6d498e4ebc3ebd9fb7,Fulton AtlAnta COmmunity Action Authority,No Address
95,"Atlanta, GA",Foege's Arcade,4a70f48ff964a520ddd81fe3,Phoenix II Park,141 Martin St SE
96,"Atlanta, GA",Marlin Arcade,4df57044d1649c8a28e9d4a2,Dog Walk Circle,Lake forest
97,"Atlanta, GA",Marlin Arcade,4ee46cfee5faffd731a6bf8d,Marlin's Movie Theater,No Address
98,"Atlanta, GA",Marlin Arcade,4e11c805fa769d21e9efb65c,House Of Champs,No Address
99,"Atlanta, GA",Marlin Arcade,4e3ab2ef88772c3bf1251578,Huzzah Yalley Resort,Potidi 311 dr
100,"Atlanta, GA",Marlin Arcade,4de92836d22d09215a2f26e4,Woodridge,No Address
101,"Atlanta, GA",Marlin Arcade,581e1248ded8f84666ca6596,Tupelo Dr.,Tupelo Dr.
102,"Atlanta, GA",Marlin Arcade,4c0ad30dbbc676b0ae934ad5,Dorchester pool,No Address
103,"Atlanta, GA",Marlin Arcade,4e12391dfa769d21e9f430b2,Lake Forest,No Address
104,"Atlanta, GA",Marlin Arcade,4edd6e480e61d46adba867b9,Arapaho Village Trailer Park,No Address
105,"Atlanta, GA",Marlin Arcade,4ddc0d23ae60d6fc158428d5,Belleville Food Mart,No Address
106,"Atlanta, GA",Marlin Arcade,4dc6d5add22dafda2fc718ab,Foster's,Aaron Drive
107,"Atlanta, GA",Marlin Arcade,522b854211d2b45ffe3d0004,200 Sunrise Drive,200 Sunrise Dr
108,"Atlanta, GA",Marlin Arcade,4e4fc9a4b0fb088f3c2001f2,Soccer Fields,No Address
109,"Atlanta, GA",Marlin Arcade,4e52edd422711d4da5b67580,Belle Claire Soccer Fields,No Address
110,"Atlanta, GA",Marlin Arcade,4ea302c90aaf711180da800a,BFC,No Address
111,"Atlanta, GA",Marlin Arcade,4e4eed4118a8af30fd7e3ad8,Bedrock Raceway,No Address
112,"Atlanta, GA",Marlin Arcade,5581ea1f498eab22ee066e11,Rocky Top,1357 Rocky Creek Ct
113,"Atlanta, GA",Marlin Arcade,4e4a717aa80997a2dbf1d8f7,The Backroom,No Address
114,"Atlanta, GA",Marlin Arcade,54bc58da498e4279525957c0,Belleville Fish & Chicken,925 S Belt W
115,"Atlanta, GA",PAC-MAN PLAY™ Arcade at Underground Atlanta,4e5bbf817d8b966a15e6a586,Future,50 Upper Alabama St SW
116,"Atlanta, GA",PAC-MAN PLAY™ Arcade at Underground Atlanta,4e5d1f01a8092f6396804b52,Triple Play,50 Upper Alabama St SW
