Category_ID,Category_Count
4bf58dd8d48988d1d6941735,1
4bf58dd8d48988d1dc931735,1
4bf58dd8d48988d1dd931735,1
4bf58dd8d48988d1de931735,3
4bf58dd8d48988d1df931735,3
4bf58dd8d48988d1df941735,5
4bf58dd8d48988d1e0931735,30
4bf58dd8d48988d1e0941735,1
4bf58dd8d48988d1e1931735,7
4bf58dd8d48988d1e2931735,19
4bf58dd8d48988d1e2941735,3
4bf58dd8d48988d1e3941735,3
4bf58dd8d48988d1e4931735,3
4bf58dd8d48988d1e5931735,4
4bf58dd8d48988d1e5941735,3
4bf58dd8d48988d1e6941735,2
4bf58dd8d48988d1e7931735,1
4bf58dd8d48988d1e7941735,4
4bf58dd8d48988d1e8941735,1
4bf58dd8d48988d1e9931735,1
4bf58dd8d48988d1ed931735,1
4bf58dd8d48988d1ed941735,4
4bf58dd8d48988d1ef941735,1
4bf58dd8d48988d1f0931735,1
4bf58dd8d48988d1f1931735,9
4bf58dd8d48988d1f1941735,1
4bf58dd8d48988d1f2931735,4
4bf58dd8d48988d1f2941735,4
4bf58dd8d48988d1f3941735,3
4bf58dd8d48988d1f4931735,1
4bf58dd8d48988d1f4941735,5
4bf58dd8d48988d1f5941735,1
4bf58dd8d48988d1f6931735,5
4bf58dd8d48988d1f6941735,5
4bf58dd8d48988d1f7941735,2
4bf58dd8d48988d1f8941735,5
4bf58dd8d48988d1f9941735,1
4bf58dd8d48988d1fa931735,8
4bf58dd8d48988d1fa941735,1
4bf58dd8d48988d1fb931735,3
4bf58dd8d48988d1fc931735,4
4bf58dd8d48988d1fc941735,10
4bf58dd8d48988d1fd931735,13
4bf58dd8d48988d1fd941735,4
4bf58dd8d48988d1fe931735,17
4bf58dd8d48988d1fe941735,1
4bf58dd8d48988d1ff941735,9
4c2cd86ed066bed06c3c5209,1
4c38df4de52ce0d596b336e1,3
4cce455aebf7b749d5e191f5,5
4d1cf8421a97d635ce361c31,1
4d4ae6fc7a7b7dea34424761,4
4d4b7104d754a06370d81259,1
4d4b7105d754a06375d81259,1
4d4b7105d754a06377d81259,1
4d4b7105d754a06378d81259,3
4d4b7105d754a06379d81259,1
4d954af4a243a5684765b473,4
4d954b06a243a5684965b473,33
4d954b0ea243a5684a65b473,4
4d954b16a243a5684b65b473,1
4deefb944765f83613cdba6e,4
4e39a956bd410d7aed40cbc3,1
4e4c9077bd41f78e849722f9,5
4e52d2d203646f7c19daa8ae,2
4e74f6cabd41c4836eac4c31,1
4eb1bd1c3b7b55596b4a748f,1
4eb1bea83b7b6f98df247e06,6
4eb1c0253b7b52c0e1adc2e9,3
4eb1c1623b7b52c0e1adc2ec,1
4eb1d4d54b900d56c88a45fc,6
4edd64a0c7ddd24ca188df1a,1
4f04aa0c2fb6e1c99f3db0b8,5
4f04afc02fb6e1c99f3db0bc,2
4f04b1572fb6e1c99f3db0bf,3
4f2a210c4b9023bd5841ed28,4
4f2a23984b9023bd5841ed2c,3
4f4528bc4b90abdf24c9de85,2
4f4531084b9074f6e4fb0101,1
4f4531504b9074f6e4fb0102,1
4f4533804b9074f6e4fb0105,7
4f4534884b9074f6e4fb0174,1
4fbc1be21983fc883593e321,1
5032781d91d4c4b30a586d5b,2
5032792091d4c4b30a586d5c,1
50327c8591d4c4b30a586d5d,4
503287a291d4c4b30a586d65,2
5032885091d4c4b30a586d66,2
5032891291d4c4b30a586d68,1
5032897c91d4c4b30a586d69,1
50328a8e91d4c4b30a586d6c,1
507c8c4091d498d9fc8c67a9,1
50be8ee891d4fa8dcc7199a7,1
5109983191d435c0d71c2bb1,29
52af3a7c3cf9994f4e043bed,1
52af3b773cf9994f4e043c03,2
52af3b813cf9994f4e043c04,1
52c71aaf3cf9994f4e043d17,3
52dea92d3cf9994f4e043dbb,6
52e81612bcbc57f1066b79ed,2
52e81612bcbc57f1066b79f2,3
52e81612bcbc57f1066b79fc,1
52e81612bcbc57f1066b7a05,2
52e81612bcbc57f1066b7a0c,6
52e81612bcbc57f1066b7a11,1
52e81612bcbc57f1066b7a25,3
52e81612bcbc57f1066b7a26,2
52e81612bcbc57f1066b7a34,1
52e81612bcbc57f1066b7a35,1
52e81612bcbc57f1066b7a36,2
52e81612bcbc57f1066b7a39,2
52e81612bcbc57f1066b7a3b,1
52f2ab2ebcbc57f1066b8b16,1
52f2ab2ebcbc57f1066b8b1c,1
52f2ab2ebcbc57f1066b8b1d,1
52f2ab2ebcbc57f1066b8b1f,4
52f2ab2ebcbc57f1066b8b28,2
52f2ab2ebcbc57f1066b8b30,1
52f2ab2ebcbc57f1066b8b33,3
52f2ab2ebcbc57f1066b8b36,1
52f2ab2ebcbc57f1066b8b37,1
52f2ab2ebcbc57f1066b8b39,1
52f2ab2ebcbc57f1066b8b3c,2
52f2ab2ebcbc57f1066b8b42,2
52f2ab2ebcbc57f1066b8b45,1
