,Venue_Distance,Category_ID,Category_Name,Venue_Rating
128,552,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
129,607,4bf58dd8d48988d113951735,Gas Station,5.9
130,686,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
131,732,4f4533804b9074f6e4fb0105,Elementary School,Not Rated
132,734,4bf58dd8d48988d124941735,Office,Not Rated
133,759,4bf58dd8d48988d1f2941735,Sporting Goods Shop,Not Rated
134,766,4f4528bc4b90abdf24c9de85,Athletics & Sports,Not Rated
135,18,4bf58dd8d48988d1f3941735,Toy / Game Store,Not Rated
136,469,4bf58dd8d48988d124941735,Office,Not Rated
137,570,4bf58dd8d48988d1e0931735,Coffee Shop,8.0
138,651,4bf58dd8d48988d164941735,Plaza,Not Rated
139,673,4bf58dd8d48988d113951735,Gas Station,5.6
140,774,4eb1c0253b7b52c0e1adc2e9,Garden Center,Not Rated
141,885,4bf58dd8d48988d161941735,Lake,Not Rated
142,996,4bf58dd8d48988d130941735,Building,Not Rated
143,1008,52e81612bcbc57f1066b7a26,Recreation Center,Not Rated
144,1068,4bf58dd8d48988d132941735,Church,Not Rated
145,1112,4cce455aebf7b749d5e191f5,Soccer Field,Not Rated
146,1126,4eb1bea83b7b6f98df247e06,Factory,Not Rated
147,1133,4e52d2d203646f7c19daa8ae,Animal Shelter,Not Rated
148,1143,4bf58dd8d48988d1fc931735,Light Rail Station,Not Rated
149,1157,4bf58dd8d48988d124941735,Office,Not Rated
150,1194,4bf58dd8d48988d11b951735,Flower Shop,Not Rated
151,1238,4bf58dd8d48988d1f8941735,Furniture / Home Store,Not Rated
152,1239,4bf58dd8d48988d1f8941735,Furniture / Home Store,Not Rated
153,1414,4cce455aebf7b749d5e191f5,Soccer Field,Not Rated
